代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
839725,惠丰钻石,40.05,29.99,9.24,0.00,30.13,2.64,27.75,4.64亿,4207.78万,16.85亿,392.40
688130,晶华微,32.62,20.02,5.44,0.06,40.24,6.89,16.41,3.83亿,2997.44万,9.78亿,亏损
301071,力量钻石,36.05,20.01,6.01,0.00,10.39,5.86,17.04,9.29亿,2.60亿,93.56亿,39.78
300179,四方达,12.97,19.10,2.08,0.00,21.50,3.95,18.73,9.77亿,3.76亿,48.77亿,50.30
300641,正丹股份,25.77,15.51,3.46,0.00,12.08,6.88,20.21,15.87亿,5.32亿,137.20亿,12.48
300630,普利制药,8.04,14.69,1.03,0.00,19.72,1.67,22.97,5.01亿,3.38亿,27.20亿,亏损
300689,澄天伟业,28.60,11.76,3.01,0.00,6.24,4.40,19.97,1.75亿,1.01亿,28.94亿,6039.14
301187,欧圣电气,34.64,11.17,3.48,-0.03,16.74,2.74,14.73,2.74亿,4787.42万,16.58亿,25.70
872190,雷神科技,24.43,10.74,2.37,0.00,17.02,3.67,15.59,4.20亿,9867.51万,24.11亿,100.88
838670,恒进感应,20.36,10.65,1.96,0.00,17.68,1.31,18.42,2.25亿,6600.29万,13.44亿,213.54
300499,高澜股份,21.88,10.34,2.05,-0.09,35.03,1.58,11.80,20.47亿,2.71亿,59.38亿,亏损
300798,锦鸡股份,7.43,10.24,0.69,-0.27,16.04,2.94,19.14,4.33亿,3.72亿,27.67亿,295.99
002429,兆驰股份,5.79,10.08,0.53,0.00,2.65,2.35,3.99,6.89亿,45.24亿,261.96亿,14.32
002038,双鹭药业,7.98,10.07,0.73,0.00,10.30,6.71,8.97,6.88亿,8.52亿,67.95亿,亏损
605001,威奥股份,7.88,10.06,0.72,0.00,6.95,0.57,10.06,2.11亿,3.93亿,30.96亿,202.52
301059,金三江,12.59,10.05,1.15,-0.47,8.09,1.91,14.25,2.02亿,2.07亿,26.03亿,57.94
002617,露笑科技,9.42,10.05,0.86,0.00,33.17,2.54,4.56,58.60亿,18.91亿,178.17亿,58.05
603421,鼎信通讯,9.53,10.05,0.87,0.00,8.48,1.82,6.70,5.22亿,6.52亿,62.15亿,亏损
603759,海天股份,8.44,10.04,0.77,0.00,5.63,5.03,11.60,2.14亿,4.62亿,38.97亿,20.22
002918,蒙娜丽莎,11.19,10.03,1.02,0.00,11.29,0.64,13.57,2.67亿,2.19亿,24.56亿,24.80
002364,中恒电气,8.89,10.03,0.81,0.00,3.80,0.62,9.16,1.87亿,5.58亿,49.62亿,43.70
600072,中船科技,15.15,10.02,1.38,0.00,11.32,3.55,12.35,18.14亿,10.83亿,164.13亿,亏损
002449,国星光电,11.65,10.01,1.06,0.00,15.80,2.31,3.02,11.35亿,6.16亿,71.82亿,81.01
000880,潍柴重机,14.40,10.01,1.31,0.00,7.00,0.66,2.52,1.62亿,1.62亿,23.35亿,24.77
600793,宜宾纸业,28.16,10.00,2.56,0.00,6.45,0.39,7.66,3.14亿,1.77亿,49.82亿,亏损
603353,和顺石油,16.72,10.00,1.52,0.00,4.75,1.25,9.80,1.33亿,1.70亿,28.49亿,50.41
603887,城地香江,19.36,10.00,1.76,0.00,31.12,1.84,13.07,34.54亿,5.95亿,115.25亿,亏损
002667,威领股份,12.21,10.00,1.11,0.00,15.58,1.04,10.90,4.42亿,2.36亿,28.83亿,亏损
002779,中坚科技,73.07,10.00,6.64,0.00,16.02,2.26,9.89,13.67亿,1.18亿,86.54亿,181.34
002856,美芝股份,12.66,9.99,1.15,0.00,16.17,3.34,13.55,2.40亿,1.21亿,15.33亿,亏损
002730,电光科技,9.80,9.99,0.89,0.00,3.54,1.24,2.25,1.19亿,3.46亿,33.91亿,39.61
603207,小方制药,29.63,9.98,2.69,0.00,26.46,2.27,11.77,3.03亿,3919.78万,11.61亿,21.99
603777,来伊份,13.55,9.98,1.23,0.00,11.57,3.17,8.52,5.12亿,3.35亿,45.45亿,亏损
600579,克劳斯,12.01,9.98,1.09,0.00,23.73,2.82,19.96,12.98亿,4.95亿,59.41亿,亏损
002369,卓翼科技,9.59,9.98,0.87,0.00,34.85,1.04,14.79,18.44亿,5.66亿,54.25亿,亏损
600172,黄河旋风,4.74,9.98,0.43,0.00,16.77,1.96,9.05,9.86亿,12.76亿,60.49亿,亏损
002137,实益达,9.26,9.98,0.84,0.00,44.08,4.61,6.89,16.13亿,3.96亿,36.71亿,148.70
002307,北新路桥,4.30,9.97,0.39,0.00,8.31,4.37,4.60,3.88亿,10.91亿,46.91亿,814.69
